"Molecule.ChEMBL.ID","Smiles","Standard.Value"
"CHEMBL4096657","Cc1cc(Nc2cccc(C#N)c2)nc(-c2ccccc2)n1",0.122
"CHEMBL3884853","O=C(Nc1ccccc1-c1nnn(-c2ccccc2)n1)c1cccc([N+](=O)[O-])c1",0.123
"CHEMBL396298","COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2",0.127
"CHEMBL4172917","CC(=O)Nc1cccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc3ccccc23)c1",0.127
"CHEMBL4069428","Cc1cc(Nc2ccc(C#N)cc2)nc(-c2ccccc2)n1",0.128
"CHEMBL3883590","CCCc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(O)cc3)n2)cc1",0.129
"CHEMBL4205357","COc1ccc(-n2nnc(-c3cc(OC)ccc3NC(=O)c3ccc([N+](=O)[O-])cc3)n2)cc1",0.129
"CHEMBL1779526","COCCOCCOCCOc1cc2c(cc1OC)CCN(CCc1ccc(NC(=O)c3ccc(C(=O)OC)c(NC(=O)c4ccc5ccccc5n4)c3)cc1)C2",0.13
"CHEMBL118812","O=[N+]([O-])c1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1",0.13
"CHEMBL4217602","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(C(F)(F)F)cc3)n2)cn1",0.13
"CHEMBL3885031","COc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(C(C)C)cc3)n2)cc1",0.131
"CHEMBL4096318","CCCc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3cccc(OC)c3)n2)cc1",0.131
"CHEMBL3885364","COc1ccc(C(=O)Nc2ccccc2-c2nnn(-c3ccc(SC)cc3)n2)cc1",0.132
"CHEMBL4083108","Cc1cc(Nc2cccc(C#N)c2)nc(-c2ccncc2)n1",0.132
"CHEMBL4059784","N#Cc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1",0.134
"CHEMBL4176228","COc1cccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)c1",0.1349
"CHEMBL3092488","COc1ccc(-c2nc(Nc3cccc(C#N)c3)c3ccccc3n2)cc1OC",0.136
"CHEMBL3426391","Cc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(C(F)(F)F)cc3)n2)cc1",0.137
"CHEMBL2158558","N#Cc1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1",0.14
"CHEMBL4060577","COc1ccc(Nc2nc(-c3ccncc3)nc3ccccc23)cc1C(F)(F)F",0.146
"CHEMBL4072482","c1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1",0.149
"CHEMBL3885022","O=C(Nc1ccccc1-c1nnn(-c2ccccc2)n1)c1ccc([N+](=O)[O-])cc1",0.15
"CHEMBL1360562","Oc1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1",0.15
"CHEMBL4070627","COc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1",0.15
"CHEMBL4161427","O=[N+]([O-])c1cccc(-c2nc(Nc3ccc(O)c([N+](=O)[O-])c3)c3ccccc3n2)c1",0.151
"CHEMBL2158554","COc1ccc(Nc2nc(-c3ccccc3)nc3ccccc23)cc1OC",0.152
"CHEMBL4097911","Fc1cccc(Nc2nc(-c3cccnc3)nc3ccccc23)c1",0.156
"CHEMBL2011290","COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4c(OCCc5ccccc5)cccc4o3)c2c1",0.16
"CHEMBL4063711","COc1cccc(-c2nc(Nc3ccc(F)c(F)c3)c3cccnc3n2)c1",0.163
"CHEMBL4077318","Fc1cccc(Nc2nc(-c3ccccc3)nc3ncccc23)c1",0.164
"CHEMBL4171726","O=[N+]([O-])c1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1",0.166
"CHEMBL4081708","N#Cc1ccc(Nc2nc(-c3cccnc3)nc3ccccc23)cc1",0.166
"CHEMBL3884824","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3cccc([N+](=O)[O-])c3)n2)cc1",0.168
"CHEMBL404782","COc1cc(/C=C/C(=O)c2c(O)cc(OC)cc2OC)cc(OC)c1",0.17
"CHEMBL2011282","COc1ccc(CCNC(=O)c2cc(=O)c3c(OCc4ccccc4)cccc3o2)cc1OC",0.17
