"Molecule.ChEMBL.ID";"Smiles";"Standard.Value";"Mannhold LogP";"Atomic Polarizabilities";"Aromatic Atoms Count";"Aromatic Bonds Count";"Element Count";"Bond Polarizabilities";"Bond Count";"Eccentric Connectivity Index";"Fragment Complexity";"VABC Volume Descriptor";"Hydrogen Bond Acceptors";"Hydrogen Bond Donors";"Largest Chain";"Largest Pi Chain";"Petitjean Number";"Rotatable Bonds Count";"Lipinski's Rule of Five";"Topological Polar Surface Area";"Vertex adjacency information magnitude";"Molecular Weight";"XLogP";"Zagreb Index";"Formal Charge";"Formal Charge (pos)";"Formal Charge (neg)";"Heavy Atoms Count";"Molar Mass";"SP3 Character";"Rotatable Bonds Count (non terminal)";"ALogP1";"ALogP2";"ALogP3";"Moreau-Broto Autocorrelation (mass) descriptors1";"Moreau-Broto Autocorrelation (mass) descriptors2";"Moreau-Broto Autocorrelation (mass) descriptors3";"Moreau-Broto Autocorrelation (mass) descriptors4";"Moreau-Broto Autocorrelation (mass) descriptors5";"Moreau-Broto Autocorrelation (charge) descriptors1";"Moreau-Broto Autocorrelation (charge) descriptors2";"Moreau-Broto Autocorrelation (charge) descriptors3";"Moreau-Broto Autocorrelation (charge) descriptors4";"Moreau-Broto Autocorrelation (charge) descriptors5";"Moreau-Broto Autocorrelation (polarizability) descriptors1";"Moreau-Broto Autocorrelation (polarizability) descriptors2";"Moreau-Broto Autocorrelation (polarizability) descriptors3";"Moreau-Broto Autocorrelation (polarizability) descriptors4";"Moreau-Broto Autocorrelation (polarizability) descriptors5"
"CHEMBL4164189";"O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc4cccc(C(F)(F)F)c4)c2c1";0.0491;2.7800000000000002;53.303308999999985;22;23;43;22.376690999999994;33;613;1246.09;326.87896741590964;3;1;3;26;0.5;9;1;80.95;6.044394119358453;410.09906031600036;5.870000000000001;162;0;1;-1;30;410.34951597556613;0.023255813953488372;5;2.953099999999999;8.720799609999995;112.212;37.49499169331576;37.01555206097182;58.071920675866885;56.64417144174871;52.83796980984476;0.501072841815351;-0.3022386170746519;0.14704496437473516;-0.06684168567267655;-0.11779947704347113;1864.2821982481485;2226.4135577137677;3168.124084282448;3326.5669153135887;3045.759529726951
"CHEMBL4172063";"O=[N+]([O-])c1ccc2nc(-c3ccccc3)nc(Nc4cccc(F)c4)c2c1";0.0515;2.89;50.42930899999998;22;23;40;19.970690999999995;30;517;1147.07;297.44786508943014;3;1;3;26;0.45454545454545453;6;1;80.95;5.906890595608519;360.10225387600036;5.106000000000001;144;0;1;-1;27;360.3419736387781;0;4;1.960399999999999;3.8431681599999963;107.12530000000001;31.49090341523046;32.851981837921514;46.98400314721378;48.31703099564811;44.60751153827302;0.303047324248941;-0.1434179711330079;0.08002202324120625;-0.09814968312249006;-0.0014765923310958102;1751.1784875380133;2082.0182310194864;2933.103412727929;3055.6417979936878;2769.683100156488
"CHEMBL4165918";"COc1ccc(Nc2nc(-c3cccc([N+](=O)[O-])c3)nc4ccccc24)cc1OC";0.055;3;58.33027399999997;22;23;48;28.065725999999994;33;693;1731.08;343.55272889197965;3;1;3;28;0.5;9;0;99.41;6.044394119358453;402.1328050560005;4.507000000000001;158;0;1;-1;30;402.4035558366218;0.041666666666666664;6;1.0534000000000001;1.1096515600000003;120.28450000000001;34.5377973472697;36.59856463492662;51.14880083269372;56.256297716669;52.06290671311027;0.5459398827990517;-0.2988310070589009;0.03952907999705526;0.0335582447924622;-0.08817241128248034;1964.6874388703195;2329.331768302271;3285.0045993068393;3495.0766103855344;3158.169950500379
"CHEMBL4164845";"COc1ccc(-c2nc(Nc3cccc(C(F)(F)F)c3)c4cc([N+](=O)[O-])ccc4n2)cc1OC";0.0572;2.78;61.094480999999966;22;23;51;30.581518999999993;37;791;1794.11;379.0513900687655;3;1;3;28;0.5;13;1;99.41;6.20945336562895;470.1201896840004;5.4319999999999995;182;0;1;-1;34;470.4015606395841;0.058823529411764705;7;2.2559;5.08908481;125.3415;43.04392976439765;42.343919969502075;65.40028858439715;67.7470083858199;63.49842969550756;0.8080761621888083;-0.4745786259246566;0.11168115180512563;0.0760542656625893;-0.32283960691449887;2101.429474145813;2514.1587317248886;3611.721304217438;3896.037476180073;3593.378248523181
"CHEMBL4174809";"COc1ccc(Nc2nc(-c3cccnc3)nc4ccc([N+](=O)[O-])cc24)cc1";0.0577;2.7800000000000002;53.107894999999985;22;23;43;24.190104999999996;31;614;1360.08;311.16729314785175;4;1;3;27;0.46153846153846156;7;0;103.07;5.954196310386876;373.1174893400004;3.6080000000000005;148;0;1;-1;28;373.36556006103507;0.023255813953488372;5;-0.026100000000000456;0.0006812100000000238;110.14660000000002;32.123308613005236;34.266744547022384;47.81698074478949;50.15000859322383;44.90076592083804;0.4707047398323937;-0.24908435476876845;0.09672995697319618;-0.1440123252751851;0.0739091423604257;1810.149133178822;2145.177836270628;3017.436474816136;3164.381897277443;2835.1931080468535
"CHEMBL502503";"COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c5ccc6ccccc6n5";0.059;4.539999999999999;100.09654799999996;28;29;84;52.59745199999999;53;2115;5665.1;589.0737254013676;8;2;4;31;0.5;14;3;119.09000000000002;6.7279204545632;644.263484872001;5.548000000000001;254;0;0;0;48;644.7170736092329;0.09523809523809523;11;1.6587000000000034;2.751285690000011;197.4289;54.086735418351594;57.48446519281706;80.69849317808044;89.66374567826614;82.24494391386513;1.101451862994856;-0.648860249351428;0.023134328272838695;0.21525387056637912;-0.06876815503781812;3304.786301134812;3881.5393327698284;5405.692518450033;5678.930831327453;4968.862884341289
"CHEMBL4175885";"COc1cccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc4ccc([N+](=O)[O-])cc24)c1";0.059;2.78;57.19889499999997;22;23;47;26.479104999999993;35;700;1508.1;352.9651787423375;3;1;3;27;0.46153846153846156;11;1;90.18;6.129283016944966;440.1096250000004;5.784999999999999;172;0;1;-1;32;440.375538307575;0.0425531914893617;6;2.4545000000000012;6.024570250000006;118.85550000000002;40.26946072885671;39.679736015236955;61.736104630132004;61.30835539601383;57.55734145086349;0.6522915808250561;-0.3868071285953897;0.14396733754810384;-0.06954050173797428;0.043063536360979475;1981.3753399106906;2368.0326470666037;3383.3293872517334;3588.0773476283825;3316.5320313478887
"CHEMBL4167604";"O=[N+]([O-])c1ccc2nc(-c3cccc(C(F)(F)F)c3)nc(Nc4ccccc4)c2c1";0.0596;2.7800000000000002;53.30330899999997;22;23;43;22.376690999999994;33;617;1246.09;326.87896741590964;3;1;3;26;0.5;9;1;80.95;6.044394119358453;410.0990603160004;5.87;162;0;1;-1;30;410.34951597556613;0.023255813953488372;5;2.953099999999999;8.720799609999995;112.212;37.494991693315754;37.01555206097183;58.071920675866885;56.64417144174871;52.67178787666432;0.5008270269069369;-0.3034375545409816;0.14291218776401654;-0.0518590784785589;-0.01925541989456777;1866.931098076642;2230.7044522632186;3177.3876281589332;3341.8005813554287;3068.1265290496485
"CHEMBL4174654";"O=[N+]([O-])c1ccc(Nc2nc(-c3cccc(C(F)(F)F)c3)nc4ccc([N+](=O)[O-])cc24)cc1";0.0614;2.45;55.34051599999997;22;23;45;22.539483999999995;36;766;1248.12;352.8197223243986;3;1;3;29;0.5;11;1;124.09;6.169925001442312;455.0841385240003;5.7620000000000005;178;0;2;-2;33;455.3470882839151;0.022222222222222223;6;3.1664;10.02608896;115.4297;42.40391006567413;41.2886571882855;64.84293753203383;64.30490321663984;59.16633771837501;0.5581944800875928;-0.3015194126124912;0.13281310507927963;-0.06095050462747635;-0.03860336270138323;1981.2646275949533;2375.8025076127587;3405.664653759011;3607.69956067514;3294.443132301702
"CHEMBL4202709";"COc1ccc(C(=O)Nc2ccccc2-c3nnn(-c4ccc(OC)nc4)n3)cc1";0.0616;2.7800000000000002;57.96827399999997;23;23;48;28.427725999999993;33;860;1731.09;339.4600379818853;6;1;3;28;0.5;8;0;104.05;6.044394119358453;402.1440384360005;4.121000000000001;156;0;0;0;30;402.4068214263365;0.041666666666666664;6;0.6803999999999987;0.4629441599999982;121.66940000000002;34.483288914281715;36.903674321755375;50.67559713783869;51.84208087163286;48.0913839987884;0.6331577003945293;-0.36221634380005907;0.10075000045752602;-0.0965332235150872;0.09378723661266276;1841.9527925941381;2149.9795261848203;2952.222768400276;2933.307570977932;2651.4538468400156
