"id","smiles"
272685,"[O]c1c2c(c([O])c3c1[C]C(C(=O)[C]O[C][C])([O])[C][C]3[O])C(=O)C4=C(O[C])[C]=[C][C]=C4C2=O"
272686,"O=C1c2c(c(c3[C]C(C(=O)[C]O[C]([C])[C])([O])[C][C](c3c2[O])[O])[O])C(=O)C4=C1C(=[C][C]=[C]4)O[C]"
279517,"O([C])C1=C2C3=C4[C](N([C])[C][C]C4=[C]1)[C]C5=[C]C6=C(C(=C35)[C]O2)O[C]O6"
280174,"O=c1c-2nc(nn(c2nc(=O)n1[C])[C])C3=[C]C(=C(O[C])[C]=[C]3)O[C]"
281629,"[O]c1c2c(c([O])c3c1C(=O)C4=[C][C]=[C]C(=C4C3=O)O[C][C])[C](O[C]5[C][C]([N])[C]([O])[C](O5)[C])[C]C([C]2)(C(=O)[C])[O]"
283159,"O=C1c2c(c(c3[C]C(C(=O)[C])([O])[C][C](c3c2[O])[O])[O])C(=O)C4=C1C(=[C][C]=[C]4)O[C]([C])[C]"
286632,"O=C1c2c(c(c3[C]C(C(=O)[C])([O])[C][C](c3c2[O])[O])[O])C(=O)C4=C1C(=[C][C]=[C]4)O[C]5[C][C][C][C][C]5"
288034,"C(=O)([C][C][C])C1=C2C(=C([O])[C]=C1[O])C(=O)C3=C([O])[C]=C([C]=C3C2=O)O[C]"
289106,"[C]c1c2c(c([C])c(c1[O])Cl)C(=O)Oc3c(O2)c(c(Cl)c(c3[C])O[C])[C]"
290946,"O=c1nc2C3=C([N][C]=N3)N=[C]n2o1"
302046,"O([C])C1=C2C3=[C][C]=C(S(=O)[C])C(=O)[C]=C3[C]([N]C(=O)[C])[C][C]C2=[C]C(=C1O[C])O[C]"
306408,"[O]c1c2c(c([O])c3c1[C]C([O])(C4([C])O[C][C]O4)[C][C]3[O])C(=O)C5=C(O[C])[C]=[C][C]=C5C2=O"
309092,"O=c1c2c(n([C])c(=O)n1[C])N=[C]N2C3=C([O])N=[C]N=C3[O]"
312326,"[C]N1[C]2C3=C(C4=[C]C(=C(C(=C4[C]2)O[C])O[C])O[C])C5=C(O[C]O5)[C]=C3[C][C]1"
328404,"O([C])c1c2C3=[C][C]=C(O[C])C(=O)[C]=C3[C]([N]C(=O)[C])[C][C]c2c(C#N)c(c1O[C])O[C]"
333299,"O([C])C1=c2c3c(c(=O)oc4c3c(=[C]C(=C4O[C])[O])c(=O)o2)[C]=C1O[C]"
335996,"O=c1c2c3c4c(c(=O)oc3c([O])c(c2[O])[O])[C]=C(C(=c4o1)[O])[O]"
344019,"O([C])c1c2C3=[C][C]=C(O[C])C(=O)[C]=C3[C]([N]C(=O)[C])[C][C]c2c(Cl)c(c1O[C])O[C]"
348951,"[C]([C]=C([C])[C])c1c2c(c([O])c3c1O[C]O3)nc4O[C]=[C]c4c2O[C]"
355405,"[C]n1c2c([C]=C([N]C(=O)[N])C(=[C]2)Cl)oc1=O"
355406,"[C]n1c2c([C]=C([N]C(=O)[N])C(=[C]2)Br)oc1=O"
356465,"[O]C12[C]([C](N([C])[C])C(=C(C1=O)C(=O)[N])[O])[C]([O])[C]3C(=[C])C4=[C][C]=[C]C(=C4C(=O)C3=C2[O])[O]"
363019,"[O]c1c2c(nc(n1)[O])[N]N=C2Br"
363624,"C(=[C])([C])c1nc(nc(n1)[N])C2=[C]C(=[C][C]=[C]2)c3nc(nc(n3)[N])C(=[C])[C]"
365076,"O(C(=O)[C])[C]1C23C4([C]([C]C5=C2C(=C(O[C])[C]=[C]5)[O])N([C])[C][C]3)[C][C]4C1=N[O]"
370381,"[O]c1c2c(nc(n1)Cl)[N]N=C2Br"
372318,"O=c1n2c(nc(c1[C][C])[C])[C]=C(C3=[C]c4nc(c(c(=O)n4C(=[C]3)[C])[C][C])[C])[C]=C2[C]"
379512,"[C][C]1C23C4=C([C]=C(O[C])C(=[C]4)O[C])C(=O)N2[C][C][C]N3N(C1=O)C(=O)[C][C]"
380518,"[N](S(=O)(=O)C1=[C]C(=[C][C]=[C]1)[N])c2c([N])nc([S])nc2[O]"
380519,"S(=O)(=O)([N]c1c([N])nc([S])nc1[O])C2=C([N])[C]=[C][C]=[C]2"
401092,"C(=O)([O])C1=C(C(=O)[O])[C]=[C][C]=C1C(=O)[O]"
401145,"O=C1C2=C(C(=O)C3=C1C(=C([O])[C]=C3[O])[O])C(=C([O])[C]=C2[O])[O]"
402362,"O=C1C(=C2C(=O)[N]C(=O)C(=[C]2)[O])[C]=C3[N]C(=O)[N]C3=N1"
405591,"[O]c1c2c(nc(n1)[O])N=C([O])[C]=N2"
406802,"[N](C(=S)[N]C1=C([O])N=C([O])N=[C]1)C2=C([O])N=C([O])N=[C]2"
407286,"[O]C1=c2c3c(c(=O)oc4c3c(=[C]C(=C4[O])[O])c(=O)o2)[C]=C1[O]"
515658,"[N]c1c2c(nc(n1)Cl)C(=N[C]=N2)[N]"
515662,"[O]c1c2c(nc(n1)[O])[C]=NC(=N2)S[C]"
515724,"[O]c1c2c(nc(n1)[O])C(=N[C]=N2)[O]"
516419,"[O]c1c2c(nc(n1)Cl)c(nc(n2)Cl)[O]"
516420,"[O]c1c2c(nc(n1)Cl)C(=N[C]=N2)[O]"
525607,"[O]c1c2c(nc(n1)[O])[C]=C([N])C(=[C]2)[N+](=O)[O-]"
528258,"[C](=N[N]C1=[C]C(=NC(=N1)[C])[O])c2c([O])nc([O])nc2[O]"
602666,"c12c3c4c([C]=C5C(=c4oc1=O)O[C]O5)c(=O)oc3c(c(c2O[C])O[C])O[C]"
604866,"C12=C(C(=O)c3c([C])c4c(c(c3C1=O)[C])O[C]O4)[C]=C5C(=[C]2)O[C]O5"
604867,"C12=C(C(=O)c3c([C])c4c(c(c3C1=O)[C])O[C]([C])O4)[C]=C5C(=[C]2)O[C]O5"
604868,"C12=C(C(=O)c3c([C])c4c(c(c3C1=O)[C])OC([C])([C])O4)[C]=C5C(=[C]2)O[C]O5"
607304,"c12c(C(=O)[C]=C(C1=O)Br)nc(nc2[O])[O]"
613252,"C1(=C2C(=O)C3=C([C]=C(C(=C3O[C])[C])O[C])C(=O)C2=[C]C(=C1O[C])O[C])[O]"
613579,"[C]1=C2[C][C]N3[C][C]C([C][C]3C2=[C]C(=C1O[C])O[C])(C(=O)[N])[C]C(=O)[N]"
613948,"N1(C(=O)[C]=C(C2=C1C3=C4C(=[C]2)C(=[C]C(=O)N4[C]O3)[C])[C][O])[C]"
620508,"c1(c2C(=[C][C]=c3c2c(c(c1[C])OC(=O)[C])c(=[C][C])o3)O[C])OC(=O)[C]"
622079,"C1(=C([C]=C2[N]C(=O)[C]3[C]c4c(c(c(O[C])c(c4O[C])[C])O[C])[C]2N3[C])[C]=C(C(=C1[C])O[C])O[C])O[C]"
622989,"C1(=C2[C]=C3C(=[C]C2=C(C(=[C]1)OC(=O)[C])OC(=O)[C])C(=O)C4([C][C][C][C]4)C3=O)OC(=O)[C]"
624398,"O1C2=C(C(=C3C(=[C]2)C4=[C][C]([C](OC(=O)[C])[C]([C]4[N]C3=O)OC(=O)[C])[O])[O])O[C]1"
625060,"c12c(c(c(Cl)c(c1OC3=C(C(=O)O2)C(=[C]C(=C3[C])O[C])C(=[C][C])[C])C(=[C][C])[C])[O])[C]"
627672,"C1(=[C]c2c3c(c([O])c(c2S1)O[C])N([C][C]3)C(=O)C4=[C]c5c(c(c(c6c5[C][C]N6C(=O)[C])[O])O[C])S4)C(=O)O[C][C]"
628507,"[C]1=[C]C2=C([C]=[C]1)C(=O)C3=C(C2=O)N4[C][C][C][C]4C3(C#N)[C]5S(=O)[C][C]S5"
629158,"c12c3C(=N[C][C]c3c(c(c1O[C])O[C])O[C])C4=C2[C]=[C]C(=C4O[C])O[C]"
634568,"c1(=O)n(c(=O)n(c2c1nc3sc4c(n23)C(=O)C5=C([C]=[C][C]=[C]5)C4=O)[C])[C]"
644269,"C1(=[C]C(=C(C(=C1C2=C([C]=C(C(=C2O[C])O[C])O[C])[C][O])O[C])O[C])O[C])[C][O]"
